iter	MultiClass
0	1.325744906
1	1.269116405
2	1.21868018
3	1.175331153
4	1.135264916
5	1.099922171
6	1.069026346
7	1.039774455
8	1.016803934
9	0.9925508017
10	0.9689430131
11	0.9478337561
12	0.9279082903
13	0.9106144614
14	0.8954615467
15	0.8786817513
16	0.8653068221
17	0.8520660696
18	0.8401682941
19	0.8285014055
20	0.8173752387
21	0.8064331169
22	0.7971285738
23	0.7867232851
24	0.7790768537
25	0.7698444795
26	0.7613789351
27	0.7531541984
28	0.7464034287
29	0.7399182046
30	0.733048129
31	0.7256193892
32	0.7191246661
33	0.7128815545
34	0.707753506
35	0.7036338669
36	0.6988889289
37	0.693723896
38	0.6888264355
39	0.683221342
40	0.6789764477
41	0.6751508051
42	0.6705247119
43	0.6670959465
44	0.6638236231
45	0.6604623796
46	0.656104293
47	0.6529800316
48	0.6504346472
49	0.6471936384
50	0.6434284949
51	0.640606994
52	0.6379922602
53	0.6351673479
54	0.6330182308
55	0.6300171763
56	0.627911826
57	0.6253829398
58	0.6232360022
59	0.6202885852
60	0.6185907287
61	0.6156701945
62	0.6134499311
63	0.6114541479
64	0.6092124385
65	0.6070360617
66	0.6048400952
67	0.6027801955
68	0.6009568744
69	0.5990811598
70	0.5970114408
71	0.5946415719
72	0.5927744966
73	0.5910853003
74	0.5899804852
75	0.5877461957
76	0.5861738996
77	0.5845276027
78	0.5828948559
79	0.5817326893
80	0.5801130617
81	0.578505277
82	0.5767754314
83	0.5753596454
84	0.5735514365
85	0.5720450853
86	0.5703830991
87	0.5690462627
88	0.5681466837
89	0.5667025265
90	0.5656805095
91	0.5640195305
92	0.5630424313
93	0.5615806482
94	0.5602837673
95	0.558742742
96	0.5572308603
97	0.5555563777
98	0.5543420323
99	0.5533299942
100	0.552034645
101	0.5510820903
102	0.5497839144
103	0.5484534145
104	0.5467108328
105	0.5457248226
106	0.5444989005
107	0.5435122122
108	0.5428399015
109	0.541844827
110	0.5403570999
111	0.5385369083
112	0.5371430318
113	0.5357500097
114	0.5344849239
115	0.5333627294
116	0.5323186804
117	0.5310172613
118	0.5299235831
119	0.5291193111
120	0.5277206752
121	0.5263348178
122	0.5257879274
123	0.5246754276
124	0.5234965632
125	0.5221951253
126	0.5211581921
127	0.5202582091
128	0.5194208578
129	0.5178807707
130	0.5166231758
131	0.5156824008
132	0.5146290229
133	0.513502916
134	0.5126972682
135	0.5114694472
136	0.5103844164
137	0.5096539546
138	0.5088820865
139	0.5077630851
140	0.5065934932
141	0.5056419262
142	0.5047321928
143	0.5037006644
144	0.5027621115
145	0.5014290805
146	0.5002632792
147	0.4994860978
148	0.4986080601
149	0.4978259003
150	0.4970826766
151	0.4964556542
152	0.495244546
153	0.4939298068
154	0.4925787899
155	0.4915914675
156	0.4904309831
157	0.4895432047
158	0.4887610354
159	0.4881452058
160	0.4872761457
161	0.4865894103
162	0.4858956016
163	0.4848484481
164	0.4843055881
165	0.4835437766
166	0.4826821294
167	0.4818036163
168	0.4810443765
169	0.4800909435
170	0.4794408259
171	0.4783813001
172	0.4776982333
173	0.4766794822
174	0.4761352481
175	0.4751306126
176	0.4744590225
177	0.473668896
178	0.4723291989
179	0.4712721955
180	0.4705912698
181	0.4692565027
182	0.468450075
183	0.4673068684
184	0.4667920387
185	0.4655314496
186	0.4648023664
187	0.4636718308
188	0.4628702468
189	0.4619003896
190	0.4613288935
191	0.4605879951
192	0.4600508529
193	0.4591271253
194	0.4585091857
195	0.4577658155
196	0.4567686826
197	0.4562106054
198	0.4556124792
199	0.4546822607
200	0.4537657882
201	0.4525942509
202	0.4518465223
203	0.4511289338
204	0.4503653036
205	0.4498769878
206	0.44886262
207	0.4483119609
208	0.4478339865
209	0.447207478
210	0.4464386924
211	0.4456381624
212	0.4447588113
213	0.4439934802
214	0.4432899387
215	0.4422018782
216	0.4413683945
217	0.4403193144
218	0.4399425572
219	0.4393962626
220	0.4384958414
221	0.4377779547
222	0.4371519697
223	0.4365382068
224	0.4360479002
225	0.4355871689
