iter	Passed	Remaining
0	11	5866
1	20	5176
2	31	5182
3	41	5086
4	49	4924
5	60	5013
6	71	5024
7	80	4959
8	90	4934
9	99	4857
10	109	4872
11	119	4867
12	129	4833
13	139	4834
14	148	4795
15	159	4837
16	170	4845
17	180	4843
18	194	4914
19	204	4908
20	214	4902
21	225	4894
22	235	4884
23	244	4858
24	255	4854
25	264	4817
26	274	4805
27	285	4804
28	294	4782
29	304	4777
30	314	4763
31	324	4746
32	334	4733
33	344	4726
34	355	4726
35	365	4716
36	375	4704
37	386	4695
38	395	4671
39	405	4659
40	415	4657
41	425	4636
42	435	4631
43	445	4617
44	455	4608
45	466	4604
46	475	4586
47	487	4586
48	497	4579
49	507	4566
50	518	4567
51	529	4559
52	539	4545
53	549	4540
54	559	4523
55	570	4523
56	580	4508
57	589	4495
58	600	4490
59	611	4481
60	620	4465
61	631	4458
62	640	4445
63	651	4436
64	662	4431
65	672	4419
66	683	4416
67	693	4403
68	702	4390
69	713	4382
70	722	4364
71	734	4368
72	745	4358
73	754	4344
74	764	4334
75	774	4323
76	786	4318
77	797	4316
78	807	4305
79	817	4291
80	827	4281
81	836	4265
82	846	4255
83	856	4244
84	866	4231
85	877	4223
86	887	4211
87	897	4202
88	907	4188
89	916	4177
90	927	4168
91	938	4160
92	948	4149
93	958	4141
94	967	4126
95	977	4115
96	987	4102
97	997	4091
98	1008	4083
99	1017	4069
100	1027	4059
101	1037	4048
102	1047	4038
103	1059	4032
104	1068	4020
105	1079	4011
106	1093	4014
107	1103	4004
108	1112	3991
109	1123	3983
110	1133	3972
111	1143	3961
112	1153	3951
113	1163	3938
114	1190	3984
115	1199	3972
116	1210	3961
117	1221	3954
118	1232	3945
119	1242	3934
120	1253	3924
121	1262	3911
122	1273	3902
123	1284	3895
124	1294	3882
125	1305	3875
126	1315	3863
127	1325	3852
128	1336	3842
129	1345	3830
130	1356	3820
131	1366	3810
132	1376	3799
133	1388	3792
134	1398	3782
135	1408	3770
136	1419	3761
137	1429	3749
138	1439	3737
139	1449	3727
140	1459	3715
141	1469	3705
142	1479	3692
143	1489	3682
144	1499	3671
145	1509	3659
146	1519	3648
147	1530	3639
148	1541	3630
149	1551	3621
150	1563	3613
151	1572	3600
152	1583	3591
153	1593	3580
154	1603	3569
155	1614	3560
156	1623	3547
157	1633	3536
158	1644	3526
159	1653	3513
160	1663	3503
161	1673	3490
162	1684	3482
163	1694	3472
164	1704	3460
165	1716	3453
166	1727	3444
167	1737	3432
168	1747	3423
169	1757	3411
170	1767	3400
171	1777	3390
172	1787	3377
173	1797	3367
174	1806	3355
175	1816	3344
176	1827	3334
177	1837	3324
178	1847	3313
179	1858	3304
180	1868	3293
181	1879	3283
182	1890	3274
183	1899	3262
184	1909	3251
185	1919	3240
186	1929	3229
187	1940	3219
188	1949	3208
189	1960	3199
190	1970	3187
191	1981	3177
192	1991	3167
193	2000	3155
194	2010	3144
195	2020	3133
196	2029	3122
197	2040	3112
198	2049	3099
199	2060	3090
200	2073	3083
201	2083	3073
202	2093	3062
203	2103	3051
204	2113	3040
205	2124	3031
206	2135	3022
207	2145	3012
208	2156	3001
209	2165	2989
210	2174	2978
211	2184	2968
212	2194	2957
213	2204	2946
214	2214	2935
215	2224	2924
216	2235	2914
217	2245	2904
218	2255	2894
219	2264	2882
220	2275	2872
221	2285	2861
222	2294	2850
223	2304	2839
224	2313	2827
225	2323	2816
226	2333	2806
227	2343	2795
228	2354	2786
229	2363	2774
230	2373	2763
231	2382	2752
232	2392	2741
233	2403	2732
234	2412	2720
235	2422	2710
236	2432	2699
237	2442	2689
238	2453	2679
239	2463	2668
240	2472	2657
241	2482	2647
242	2492	2635
243	2502	2625
244	2512	2614
245	2521	2603
246	2531	2593
247	2542	2583
248	2552	2573
249	2562	2562
250	2571	2551
251	2581	2540
252	2590	2529
253	2601	2519
254	2611	2508
255	2620	2497
256	2630	2487
257	2640	2477
258	2650	2466
259	2660	2455
260	2669	2444
261	2680	2435
262	2690	2424
263	2700	2414
264	2710	2403
265	2720	2393
266	2731	2383
267	2740	2372
268	2750	2362
269	2760	2351
270	2769	2340
271	2780	2330
272	2790	2319
273	2800	2309
274	2810	2299
275	2820	2288
276	2830	2278
277	2840	2268
278	2850	2258
279	2860	2247
280	2869	2236
281	2879	2226
282	2889	2215
283	2899	2205
284	2909	2195
285	2919	2184
286	2929	2174
287	2939	2163
288	2949	2153
289	2958	2142
290	2968	2132
291	2979	2122
292	2989	2111
293	2998	2101
294	3009	2091
295	3019	2080
296	3029	2070
297	3038	2059
298	3048	2049
299	3057	2038
300	3066	2027
301	3076	2017
302	3086	2006
303	3096	1996
304	3106	1985
305	3115	1975
306	3126	1965
307	3136	1955
308	3146	1944
309	3155	1934
310	3166	1924
311	3176	1914
312	3187	1904
313	3196	1893
314	3206	1883
315	3216	1872
316	3226	1862
317	3236	1852
318	3246	1841
319	3255	1831
320	3266	1821
321	3276	1811
322	3286	1801
323	3296	1790
324	3306	1780
325	3316	1769
326	3325	1759
327	3336	1749
328	3345	1738
329	3355	1728
330	3365	1718
331	3374	1707
332	3385	1697
333	3395	1687
334	3404	1677
335	3415	1667
336	3424	1656
337	3434	1646
338	3447	1637
339	3456	1626
340	3466	1616
341	3476	1606
342	3486	1595
